SalePrice(100K),Area,Bedrooms,Bathrooms,CarParks,PropertyType
3.85,363,3,2,1,0
5.66,636,3,2,2,1
5.675,1007,2,2,1,1
5.47,375,4,2,2,0
4.4,493,4,2,2,0
2.5,277,3,2,1,1
3.2,162,2,1,1,0
6.17,672,3,2,2,0
2.475,602,1,1,1,1
3.91,705,3,2,3,0
5.2,552,4,2,4,0
3.185,138,3,2,1,0
4.915,877,3,1,4,0
6,2777,2,1,2,1
4.4,134,3,2,2,1
5.5,697,3,1,1,0
3.3,544,4,1,2,0
2.145,487,4,3,2,0
4.32,646,2,1,1,1
4.7,612,4,2,2,0
22.22,686,3,1,1,0
6.25,131,2,1,1,0
4.11,843,4,2,1,0
9.01,371,3,1,4,0
3.875,350,3,2,2,0
5.2,1042,2,1,1,1
16.9,733,4,4,2,0
2.56,194,2,1,1,1
3.3,674,4,2,2,0
4.15,671,4,1,2,0
3.45,1664,2,1,1,0
5.92,661,4,2,2,0
3.62,1827,1,1,0,1
2.6,825,1,1,1,1
13.9,1250,3,2,2,0
7.15,237,2,2,1,0
3.0978,247,3,1,2,1
2.8,2018,2,1,1,1
6,2782,1,1,1,0
4.7,608,3,2,2,0
4.86,186,2,1,1,1
4.91,533,3,2,2,0
3.3,545,4,2,2,0
6.38,138,2,1,1,0
9.2,437,3,3,2,1
4.09,680,4,2,2,0
4.63,1826,2,2,1,1
16.9,433,3,2,2,0
8.305,543,3,1,2,0
8.88,661,3,2,2,0
5.1,2825,2,2,1,1
2.15,1747,2,1,1,1
11.7,588,2,2,3,0
3.15,137,2,1,1,1
21.5,1011,1,1,2,0
4.775,583,5,2,2,0
4.3,613,4,2,2,0
3.55,392,4,2,2,0
3.44,453,3,1,1,0
3.58,310,3,2,2,0
4.37,529,3,1,2,0
5.5,635,2,1,1,1
3.15,401,2,1,1,1
3,597,3,2,2,0
4.9,581,4,2,1,0
12.3,810,4,2,2,0
2.25,75,2,1,2,1
3.9,696,3,2,2,0
3.35,539,3,1,1,0
2.57,112,2,1,1,1
3.08,654,3,2,2,0
8.6,1205,4,2,4,0
5.5,714,3,1,2,0
3.399,62,2,1,1,1
6.55,1115,3,2,2,1
17.1,602,4,1,2,0
5.85,195,3,1,2,1
5.1,446,2,1,2,0
9.65,320,3,1,2,0
9.05,464,3,1,2,0
7.61,592,4,3,2,0
3.49,307,4,2,2,0
3.05,117,2,1,1,1
3.41,479,4,2,2,0
2.725,293,3,2,1,0
3.20002,490,4,2,2,0
8.8,725,3,2,3,0
3,394,4,2,2,0
3.2242,618,3,2,1,0
3.881,350,3,2,2,1
4.95,613,4,1,2,0
2.3,699,3,1,1,0
3.01,375,3,2,2,0
3.7,496,3,2,2,0
7.15,653,4,2,1,0
4.45,448,3,2,2,0
8.2,733,3,1,2,0
4.3,438,4,2,2,0
4.35,579,3,1,2,0
