Cement,Blast Furnace Slag,Fly Ash ,Water  ,Superplasticizer ,Coarse Aggregate ,Fine Aggregate ,CCS
202,11,141,206,1.7,942,801,23.25
233.8,0,94.6,197.9,4.6,947,852.2,27.66
166.1,0,163.3,176.5,4.5,1058.6,780.1,28.63
222.4,0,96.7,189.3,4.5,967.1,870.3,29.45
350,0,0,203,0,974,775,29.98
230,0,118.3,195.5,4.6,1029.4,758.6,31.54
190.3,0,125.2,166.6,9.9,1079,798.9,31.72
168,42.1,163.8,121.8,5.7,1058.7,780.1,32.85
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,35.85
376,0,0,214.6,0,1003.5,762.4,36.3
218.9,0,124.1,158.5,11.3,1078.7,794.9,37.27
250,0,95.7,187.4,5.5,956.9,861.2,38.33
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,39.15
250,0,95.7,191.8,5.3,948.9,857.2,39.64
249.1,0,98.8,158.1,12.8,987.8,889,42.03
231.8,0,121.6,174,6.7,1056.4,778.5,42.7
194.7,0,100.5,170.2,7.5,998,901.8,43.39
182,45.2,122,170.2,8.2,1059.4,780.7,43.5
251.8,0,99.9,146.1,12.4,1006,899.8,44.14
284,15,141,179,5.5,842,801,44.52
290.4,0,96.2,168.1,9.4,961.2,865,45.08
213.7,0,174.7,154.8,10.2,1053.5,776.4,46.64
213.8,98.1,24.5,181.7,6.7,1066,785.5,47.13
387,20,94,157,13.9,938,845,47.97
178,129.8,118.6,179.9,3.6,1007.3,746.8,48.59
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,48.99
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,50.77
277.1,0,97.4,160.6,11.8,973.9,875.6,51.04
213.5,0,174.2,154.6,11.7,1052.3,775.5,51.43
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,51.72
297.2,0,117.5,174.8,9.5,1022.8,753.5,51.96
165,128.5,132.1,175.1,8.1,1005.8,746.6,53.72
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,53.96
446,24,79,162,10.3,967,712,54.77
379.5,151.2,0,153.9,15.9,1134.3,605,54.9
388.6,97.1,0,157.9,12.1,852.1,925.7,55.2
446,24,79,162,11.6,967,712,55.25
252.3,0,98.8,146.3,14.2,987.8,889,55.83
446,24,79,162,11.6,967,712,56.14
387,20,94,157,14.3,938,845,56.34
275.1,0,121.4,159.5,9.9,1053.6,777.5,56.85
531.3,0,0,141.8,28.2,852.1,893.7,58.8
491,26,123,210,3.9,882,699,59.59
337.9,189,0,174.9,9.5,944.7,755.8,59.89
375,93.8,0,126.6,23.4,852.1,992.6,60.2
246.8,0,125.1,143.3,12,1086.8,800.9,60.32
446,24,79,162,11.6,967,712,61.07
387,20,94,157,11.6,938,845,61.46
491,26,123,201,3.9,822,699,61.86
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,61.99
374,189.2,0,170.1,10.1,926.1,756.7,63.4
425,106.3,0,153.5,16.5,852.1,887.1,64.3
425,106.3,0,151.4,18.6,936,803.7,64.9
424,22,132,178,8.5,822,750,65.7
318.8,212.5,0,155.7,14.3,852.1,880.4,66.1
359,19,141,154,10.9,942,801,66.78
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,66.82
359,19,141,154,10.9,942,801,68.75
469,117.2,0,137.8,32.2,852.1,840.5,69.3
439,177,0,186,11.1,884.9,707.9,71.7
286.3,200.9,0,144.7,11.2,1004.6,803.7,72.99
401.8,94.7,0,147.4,11.4,946.8,852.1,73.7
424,22,132,168,8.9,822,750,74.36
389.9,189,0,145.9,22,944.7,755.8,79.4
323.7,282.8,0,183.8,10.3,942.7,659.9,80.2
