"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",1.5,1.5,1.9976519127222,1.5,0.95,1,2,NA,NA,NA,NA,NA,NA,NA
"beta0",-33.7067549812,-31.80275,-33.7122307130933,191.1,0.95,-213.414,124.363,NA,NA,NA,NA,NA,NA,NA
"beta[1]",0.1165472634,0.115471,0.111065768238442,194.8,0.95,0.060102,0.181112,NA,NA,NA,NA,NA,NA,NA
"beta[2]",0.1623962674,0.1620195,0.160918261919785,210.5,0.95,0.0935523,0.233959,NA,NA,NA,NA,NA,NA,NA
"beta[3]",0.11751161251,0.116166,0.112246012391598,139.3,0.95,0.024933,0.201739,NA,NA,NA,NA,NA,NA,NA
"beta[4]",-0.152064130296,-0.150886,-0.172992602179538,254.2,0.95,-0.348332,0.0438398,NA,NA,NA,NA,NA,NA,NA
"beta[5]",0.0040948845572,0.007120485,0.00405839610301206,726.3,0.95,-0.407348,0.451057,NA,NA,NA,NA,NA,NA,NA
"beta[6]",0.0330819955019,0.03111825,0.0283909110225126,212.9,0.95,-0.0300227,0.104979,NA,NA,NA,NA,NA,NA,NA
"beta[7]",0.031333629248,0.0301532,0.0254405967073016,194.6,0.95,-0.0364925,0.102513,NA,NA,NA,NA,NA,NA,NA
"sigma",6.74671625,6.73945,6.76480298946713,925.9,0.95,5.31387,8.14793,NA,NA,NA,NA,NA,NA,NA
"zbeta0",0.0031629696454,0.003572655,-0.00119905606168394,909.9,0.95,-0.111596,0.14104,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",0.875020843,0.8669425,0.833865320843638,194.8,0.95,0.451238,1.35976,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",0.817654272,0.8157575,0.810213140739723,210.5,0.95,0.47103,1.17797,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",0.50166900815,0.4959245,0.479190055482867,139.3,0.95,0.106441,0.861244,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",-0.217240270294,-0.2155575,-0.24713853351139,254.2,0.95,-0.497631,0.06263,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",0.0017120017761,0.002976955,0.00169669218275198,726.3,0.95,-0.170305,0.188579,NA,NA,NA,NA,NA,NA,NA
"zbeta[6]",0.186222898671,0.175169,0.159815834978061,212.9,0.95,-0.169002,0.590943,NA,NA,NA,NA,NA,NA,NA
"zbeta[7]",0.15695365278,0.151041,0.127434917208902,194.6,0.95,-0.182795,0.513498,NA,NA,NA,NA,NA,NA,NA
"zsigma",0.49379207,0.4932605,0.495115969167466,925.9,0.95,0.388922,0.596347,NA,NA,NA,NA,NA,NA,NA
"nu",33.85418045,26.049,12.7704536142778,1097.7,0.95,2.21295,93.1231,NA,NA,NA,NA,NA,NA,NA
"pred",52.9276754,52.71505,52.5635778818221,293,0.95,44.7873,62.6448,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.38757870850704,1.4157905411522,1.5143933393666,1251.4,0.95,0.715988310104074,2.08089333010681,NA,NA,NA,NA,NA,NA,NA
