"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",2,2,1.99741254068789,1.5,0.95,1,3,NA,NA,NA,NA,NA,NA,NA
"beta0",18.5424668339333,9.518925,-6.26748337069148,12726.9,0.95,-2838.83,2912.21,NA,NA,NA,NA,NA,NA,NA
"beta[1]",0.0952313103548017,0.0956365,0.0890424672341874,8195.3,0.95,-0.0214944,0.211296,NA,NA,NA,NA,NA,NA,NA
"beta[2]",0.144298191295033,0.1443155,0.1326815715896,6727.2,0.95,-0.0668433,0.368262,NA,NA,NA,NA,NA,NA,NA
"beta[3]",0.0909884569043,0.08977725,0.0782836523227497,6220.6,0.95,-0.195863,0.399012,NA,NA,NA,NA,NA,NA,NA
"beta[4]",-0.429437097044267,-0.374137,-0.148427162338507,13136.5,0.95,-14.0292,13.623,NA,NA,NA,NA,NA,NA,NA
"beta[5]",0.103325433319547,0.103342,0.0787549989321954,13839.1,0.95,-0.534097,0.710665,NA,NA,NA,NA,NA,NA,NA
"beta[6]",0.00459053338764667,0.00343829,0.018360247512367,12867.3,0.95,-1.40096,1.38531,NA,NA,NA,NA,NA,NA,NA
"beta[7]",0.0105888241554733,0.016212,0.0331355190055591,13305.2,0.95,-1.36677,1.37194,NA,NA,NA,NA,NA,NA,NA
"sigma",48.9038748,48.6219,47.4561765251043,11235.5,0.95,40.2548,58.0639,NA,NA,NA,NA,NA,NA,NA
"m",1.9748,2,2.00027464762846,2002.8,0.95,2,2,NA,NA,NA,NA,NA,NA,NA
"zbeta0",-3.42988822666667,-3.42941,-3.42647987268649,12518.6,0.95,-3.5688,-3.27656,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",0.714983568949607,0.7180255,0.668516479067228,8195.3,0.95,-0.161377,1.58638,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",0.726531678852187,0.7266205,0.668043133344213,6727.2,0.95,-0.336552,1.85417,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",0.3884389472344,0.383268,0.334203343036309,6220.6,0.95,-0.836159,1.70342,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",-0.613497670842,-0.534496,-0.212073766913981,13136.5,0.95,-20.2345,19.2698,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",0.043198630317938,0.04320555,0.0329259553432336,13839.1,0.95,-0.223297,0.297117,NA,NA,NA,NA,NA,NA,NA
"zbeta[6]",0.0258406941350133,0.0193546,0.10336919423338,12867.3,0.95,-7.88619,7.79807,NA,NA,NA,NA,NA,NA,NA
"zbeta[7]",0.0530406411398,0.08120765,0.165934152984914,13305.2,0.95,-6.84631,6.87222,NA,NA,NA,NA,NA,NA,NA
"zsigma",3.57927387,3.558635,3.47331766664818,11235.5,0.95,2.94625,4.2497,NA,NA,NA,NA,NA,NA,NA
"nu",53.1589204233333,44.6896,29.6238908733812,7580.6,0.95,6.13142,120.827,NA,NA,NA,NA,NA,NA,NA
"pred1",16.9240863808067,16.1729,13.271289839586,13030.2,0.95,-600.935,665.751,NA,NA,NA,NA,NA,NA,NA
"pred2",55.5201939803333,50.19335,43.8691083252461,12726.9,0.95,-2755.47,2990.7,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.64048343364942,1.65020646589923,1.66096825237091,9599.2,0.95,1.10970338440592,2.18519072427779,NA,NA,NA,NA,NA,NA,NA
