ActivityID,Elapsed Time(sec),Distance(km),ElevationGain(m),AverageGrade(percent),AverageWatts,Type
1,9655,13.73,211.4340057,0.00291346,102.2546212,MTB
2,3154,10.14,114.6110001,0.330329001,98.09889984,Road
3,10752,20.58,310.0830078,-0.387142986,130.7669983,MTB
4,6267,21.76,213.0240021,-0.0096506,108.0329971,MTB
5,7436,13.79,279.5690002,0.01,91.77539825,Road
6,8682,33.21,251.6029968,0.01,122.0879974,MTB
7,10535,16.76,275.4530029,-0.47665599,139.3209991,MTB
8,6844,24.21,272.0499878,0.00165228,105.8349991,MTB
9,10553,25.3,423.9440002,-0.309451014,120.1480026,MTB
10,5333,21.79,233.6300049,-0.000458758,107.9749985,MTB
11,7590,12.45,239.447998,0.00802781,86.16200256,Road
12,7167,13.38,296.7279968,-0.0127038,89.28150177,Road
13,5590,9.37,189.2259979,0.094985001,91.21890259,Road
14,7832,16.66,403.1040039,0.00240077,101.5019989,MTB
15,13777,18.11,307.8059998,-0.00441545,125.052002,MTB
16,8152,16.72,378.0799866,-0.00179437,96.27549744,Road
17,4071,9.37,207.8049927,-0.0117325,96.17980194,Road
18,7717,12.98,315.3399963,-0.00154074,92.34770203,Road
19,5302,22.79,308.7009888,-0.000877524,103.7549973,MTB
20,9041,17.17,485.3930054,-0.00349424,95.73139954,Road
21,5190,12.48,298.8999939,0.00480627,97.41230011,Road
22,5034,13,355.8380127,0.018455699,95.92649841,Road
23,9254,12.25,329.1759949,0.00979536,84.07610321,Road
24,5051,22.74,314.3869934,-0.00131922,113.8799973,MTB
25,11176,17.8,267.303009,0.00393071,75.64250183,Road
26,7609,24.33,511.4849854,-0.00082203,150.802002,MTB
27,3780,11.32,304.697998,0.01,118.9680023,MTB
28,7267,13.76,370.2149963,0.00581117,114.0500031,MTB
29,4155,9.19,275.3150024,0.00978622,111.7979965,MTB
30,7341,14.53,389.4949951,0.0103196,92.64600372,Road
31,4786,10.73,315.9970093,0.019569101,106.2839966,MTB
32,8745,17.51,474.5,0.00342632,93.96679688,Road
33,13712,56.97,528.1420288,-0.000175507,100.3639984,MTB
34,5479,12.07,339.2709961,-0.00496923,112.362999,MTB
35,8940,24.37,584.098999,0.00205124,105.8330002,MTB
36,5800,12.69,372.2120056,-0.0149671,98.39610291,Road
37,11825,26.65,585.3179932,-0.00037517,95.49659729,Road
38,8297,22.59,531.3049927,-0.000885187,101.7519989,MTB
39,13009,28.19,612.7269897,0.000354707,99.9905014,Road
40,2264,10.28,175.651001,0.000972668,133.6799927,MTB
41,11084,24.94,563.6090088,0.01,105.7539978,MTB
42,9842,20.97,499.4609985,-0.00143012,115.8389969,MTB
43,10017,23.82,520.960022,-0.00587754,111.9729996,MTB
44,11463,48.41,469.8320007,-0.000826142,106.6559982,MTB
45,13350,31.42,616.4890137,-0.000636489,104.1159973,MTB
46,14154,23.69,556.6900024,-0.000843957,92.12870026,Road
47,7906,13.03,182.8150024,0.00613968,74.81459808,Road
48,9374,21.15,358.1669922,-0.00330904,95.52459717,Road
49,5964,14.63,371.9719849,0.0594538,100.9990005,MTB
50,9078,23.48,530.3809814,-0.0029804,98.53029633,Road
51,13828,36.26,696.4130249,-0.177573994,129.3919983,MTB
52,10054,31.69,537.4569702,-0.0119909,88.7036972,Road
53,1916,8.18,47.58929825,-0.00122252,107.6500015,MTB
54,11483,39.9,495.6119995,0.000250593,85.36820221,Road
55,6523,20.68,427.5249939,-0.0077338,101.3710022,MTB
56,7530,13.51,448.5150146,-0.00443892,113.7330017,MTB
57,14855,24.2,493.3259888,0.00950087,86.50710297,Road
58,5304,10.87,201.8110046,-0.156320006,92.95860291,Road
59,6212,15.56,356.7402649,-0.09832336,101.3689957,MTB
60,8144,18.62,418.6669312,-0.009128546,96.46762848,Road
61,7599,18.34,425.3704529,0.005451522,94.72032928,Road
62,10505,28.97,778.5335693,-0.006556743,102.1784592,MTB
63,7340,14.17,348.4985352,-0.003528507,91.92015076,Road
64,3300,7.17,126.197319,0.01393534,78.35019684,Road
65,6674,20.13,464.3443298,0.01,101.10186,MTB
66,13369,36.53,896.5823975,0.016422383,106.4182434,MTB
67,6205,10.7,165.7869415,-0.013085335,75.68040466,Road
68,6026,12.34,262.9282532,0.01,93.59149933,Road
69,11547,16.3,358.0694275,-0.000613358,78.01391602,Road
70,9153,15.85,335.5817261,0.000630636,98.84637451,Road
71,6523,17.81,441.6837769,-0.004489665,102.008049,MTB
72,7242,9.38,171.1304016,-0.003196011,71.16926575,Road
73,7439,20.43,512.0499268,-0.009297364,106.0320511,MTB
74,9922,19.89,396.2711487,0.003015788,90.0460968,Road
75,5725,10.79,402.716156,1.303719401,98.37819672,Road
76,10166,25.35,633.5680542,-0.001577666,99.20202637,Road
77,10310,19.35,436.1425476,0.00723331,88.4013443,Road
78,12525,19.05,567.3395996,0.012597764,105.2904739,MTB
79,7786,16.7,353.8239136,-0.000598537,89.68579865,Road
80,9582,21,477.9665833,-0.00666508,110.5590973,MTB
81,9540,17.04,480.5643311,0.01290527,105.4137192,MTB
82,9031,14.81,287.2431335,-0.144439414,86.99006653,Road
83,13359,17.26,440.0002441,-0.002896603,95.10942841,Road
84,17608,29.46,763.8818359,0.003733927,109.8981934,MTB
