y,Type
9655,MTB
3154,Road
10752,MTB
6267,MTB
7436,Road
8682,MTB
10535,MTB
6844,MTB
10553,MTB
5333,MTB
7590,Road
7167,Road
5590,Road
7832,MTB
13777,MTB
8152,Road
4071,Road
7717,Road
5302,MTB
9041,Road
5190,Road
5034,Road
9254,Road
5051,MTB
11176,Road
7609,MTB
3780,MTB
7267,MTB
4155,MTB
7341,Road
4786,MTB
8745,Road
13712,MTB
5479,MTB
8940,MTB
5800,Road
11825,Road
8297,MTB
13009,Road
2264,MTB
11084,MTB
9842,MTB
10017,MTB
11463,MTB
13350,MTB
14154,Road
7906,Road
9374,Road
5964,MTB
9078,Road
13828,MTB
10054,Road
1916,MTB
11483,Road
6523,MTB
7530,MTB
14855,Road
5304,Road
6212,MTB
8144,Road
7599,Road
10505,MTB
7340,Road
3300,Road
6674,MTB
13369,MTB
6205,Road
6026,Road
11547,Road
9153,Road
6523,MTB
7242,Road
7439,MTB
9922,Road
5725,Road
10166,Road
10310,Road
12525,MTB
7786,Road
9582,MTB
9540,MTB
9031,Road
13359,Road
17608,MTB
17816,MTB
10701,Road
11225,Road
6330,Road
9246,MTB
8663,Road
5904,MTB
9230,MTB
12122,MTB
10003,MTB
5664,MTB
5097,MTB
13270,MTB
5084,Road
6822,MTB
11734,Road
5341,Road
12388,MTB
4350,MTB
8214,MTB
11196,Road
6077,Road
16356,MTB
9847,Road
5106,Road
11169,Road
3467,Road
12252,MTB
2989,Road
5948,MTB
2476,Road
8547,Road
4528,Road
25843,Road
4399,Road
8919,Road
3448,Road
13562,MTB
7725,Road
5548,Road
6695,MTB
5557,MTB
5240,MTB
9826,MTB
5283,MTB
5623,MTB
7873,MTB
4926,MTB
4864,MTB
10297,MTB
4701,MTB
4466,MTB
15868,MTB
10805,Road
4716,MTB
4452,MTB
4493,MTB
4472,MTB
4787,MTB
19115,Road
7893,Road
4502,MTB
4543,MTB
12768,Road
9575,Road
4389,MTB
4506,MTB
6475,MTB
12053,MTB
9245,MTB
9813,MTB
11044,MTB
10686,MTB
8287,MTB
12403,MTB
9575,MTB
11376,MTB
2169,Road
2523,Road
7386,Road
11828,Road
4681,Road
8262,Road
6885,Road
9355,MTB
4943,Road
4556,Road
5149,Road
4786,Road
8498,MTB
6103,Road
4564,Road
9493,MTB
4635,Road
4654,Road
16417,Road
4452,Road
5829,MTB
3655,Road
4305,Road
4259,Road
6573,MTB
6947,MTB
4245,Road
5989,Road
5170,Road
10516,MTB
10550,MTB
4184,Road
4455,Road
4246,Road
4707,Road
4426,Road
4180,Road
2911,Road
962,Road
2567,Road
2203,Road
4071,MTB
6670,Road
3115,Road
3187,MTB
5393,Road
3159,Road
6194,MTB
3057,Road
3151,Road
3164,MTB
1960,Road
3077,Road
2981,Road
2064,Road
7948,MTB
3012,Road
2933,MTB
8453,MTB
2889,MTB
2920,MTB
2887,MTB
3959,MTB
2962,MTB
7797,MTB
4102,MTB
5075,MTB
2836,MTB
2763,MTB
3050,MTB
