CED_NAME16,STATE, yes , yes_perc , no , no_perc , n ,n_clear,n_clear_perc,not_clear,not_clear_perc,non_response,non_response_perc,n_total
Banks,NSW,37736,44.9,46343,55.1,84079,84079,79.9,247,0.2,20928,19.9,105254
Barton,NSW,37153,43.6,47984,56.4,85137,85137,77.8,226,0.2,24008,22,109371
Bennelong,NSW,42943,49.8,43215,50.2,86158,86158,81,244,0.2,19973,18.8,106375
Berowra,NSW,48471,54.6,40369,45.4,88840,88840,84.5,212,0.2,16038,15.3,105090
Blaxland,NSW,20406,26.1,57926,73.9,78332,78332,75,220,0.2,25883,24.8,104435
Bradfield,NSW,53681,60.6,34927,39.4,88608,88608,83.5,202,0.2,17261,16.3,106071
Calare,NSW,54091,60.2,35779,39.8,89870,89870,77.8,285,0.2,25342,21.9,115497
Chifley,NSW,32871,41.3,46702,58.7,79573,79573,73.7,263,0.2,28180,26.1,108016
Cook,NSW,47505,55,38804,45,86309,86309,82,229,0.2,18713,17.8,105251
Cowper,NSW,57493,60,38317,40,95810,95810,79,315,0.3,25197,20.8,121322
Cunningham,NSW,60906,65.7,31840,34.3,92746,92746,81.6,268,0.2,20607,18.1,113621
Dobell,NSW,59475,65.7,30987,34.3,90462,90462,78.7,255,0.2,24275,21.1,114992
Eden-Monaro,NSW,57223,64.9,30926,35.1,88149,88149,79.7,249,0.2,22139,20,110537
Farrer,NSW,48432,55.2,39297,44.8,87729,87729,77.2,277,0.2,25669,22.6,113675
Fowler,NSW,27847,36.3,48782,63.7,76629,76629,72.2,228,0.2,29251,27.6,106108
Gilmore,NSW,59322,62,36386,38,95708,95708,80.3,303,0.3,23109,19.4,119120
Grayndler,NSW,73208,79.9,18429,20.1,91637,91637,85,136,0.1,16074,14.9,107847
Greenway,NSW,38016,46.4,43980,53.6,81996,81996,76.3,217,0.2,25253,23.5,107466
Hughes,NSW,51337,58.4,36558,41.6,87895,87895,83.6,185,0.2,17038,16.2,105118
Hume,NSW,51284,58.6,36271,41.4,87555,87555,78.7,213,0.2,23457,21.1,111225
Hunter,NSW,59137,64.4,32723,35.6,91860,91860,78.3,251,0.2,25253,21.5,117364
Kingsford Smith,NSW,56297,64.1,31510,35.9,87807,87807,79.5,225,0.2,22399,20.3,110431
Lindsay,NSW,49071,56.2,38295,43.8,87366,87366,76.3,234,0.2,26955,23.5,114555
Lyne,NSW,51416,55.3,41539,44.7,92955,92955,81,316,0.3,21426,18.7,114697
Macarthur,NSW,43323,52.1,39907,47.9,83230,83230,75.2,228,0.2,27271,24.6,110729
Mackellar,NSW,62350,68,29330,32,91680,91680,83.8,208,0.2,17500,16,109388
Macquarie,NSW,56180,63.9,31778,36.1,87958,87958,82.4,235,0.2,18490,17.3,106683
McMahon,NSW,29146,35.1,53967,64.9,83113,83113,77.6,242,0.2,23721,22.2,107076
Mitchell,NSW,42112,49.1,43652,50.9,85764,85764,81.4,176,0.2,19436,18.4,105376
Newcastle,NSW,71158,74.8,23999,25.2,95157,95157,82.5,232,0.2,19970,17.3,115359
New England,NSW,44608,52.5,40324,47.5,84932,84932,76.7,256,0.2,25581,23.1,110769
North Sydney,NSW,64813,71.8,25473,28.2,90286,90286,83.6,193,0.2,17538,16.2,108017
Page,NSW,55943,59.7,37727,40.3,93670,93670,78.3,291,0.2,25645,21.4,119606
Parkes,NSW,41408,52.7,37108,47.3,78516,78516,72.3,241,0.2,29777,27.4,108534
Parramatta,NSW,29299,38.4,47038,61.6,76337,76337,74.6,197,0.2,25757,25.2,102291
Paterson,NSW,60915,65.5,32059,34.5,92974,92974,79.1,279,0.2,24264,20.6,117517
Reid,NSW,43567,52.7,39061,47.3,82628,82628,77.5,203,0.2,23786,22.3,106617
Richmond,NSW,62591,67.9,29625,32.1,92216,92216,80,274,0.2,22719,19.7,115209
Riverina,NSW,47333,54.6,39308,45.4,86641,86641,77,265,0.2,25632,22.8,112538
Robertson,NSW,58689,65.7,30614,34.3,89303,89303,81.2,231,0.2,20431,18.6,109965
Shortland,NSW,62455,67.7,29836,32.3,92291,92291,82.2,255,0.2,19675,17.5,112221
Sydney,NSW,76144,83.7,14860,16.3,91004,91004,80.4,146,0.1,22093,19.5,113243
Warringah,NSW,64999,75,21660,25,86659,86659,83.8,172,0.2,16630,16.1,103461
Watson,NSW,24915,30.4,57160,69.6,82075,82075,76.8,205,0.2,24634,23,106914
Wentworth,NSW,69279,80.8,16410,19.2,85689,85689,82.4,162,0.2,18121,17.4,103972
Werriwa,NSW,30252,36.3,53174,63.7,83426,83426,73.8,269,0.2,29282,25.9,112977
Whitlam,NSW,57562,62.3,34879,37.7,92441,92441,79.8,276,0.2,23064,19.9,115781
Aston,VIC,48455,62,29730,38,78185,78185,81.4,234,0.2,17664,18.4,96083
Ballarat,VIC,65613,70.5,27405,29.5,93018,93018,81.4,333,0.3,20923,18.3,114274
Batman,VIC,66383,71.2,26906,28.8,93289,93289,83.7,287,0.3,17901,16.1,111477
Bendigo,VIC,63412,68.7,28852,31.3,92264,92264,82.4,333,0.3,19360,17.3,111957
Bruce,VIC,34644,46.9,39203,53.1,73847,73847,77.4,257,0.3,21261,22.3,95365
Calwell,VIC,37839,43.2,49823,56.8,87662,87662,78.6,331,0.3,23588,21.1,111581
Casey,VIC,59959,68.1,28144,31.9,88103,88103,83.7,316,0.3,16807,16,105226
Chisholm,VIC,49448,61.6,30844,38.4,80292,80292,82.1,271,0.3,17188,17.6,97751
Corangamite,VIC,69723,71.6,27708,28.4,97431,97431,84.8,326,0.3,17123,14.9,114880
Corio,VIC,62658,67.7,29865,32.3,92523,92523,83.3,359,0.3,18255,16.4,111137
Deakin,VIC,55464,65.7,28973,34.3,84437,84437,84.4,276,0.3,15389,15.4,100102
Dunkley,VIC,62840,72,24471,28,87311,87311,81.7,285,0.3,19322,18.1,106918
Flinders,VIC,68291,70,29275,30,97566,97566,81.8,336,0.3,21407,17.9,119309
Gellibrand,VIC,62045,68.1,29065,31.9,91110,91110,82,278,0.3,19771,17.8,111159
Gippsland,VIC,51196,60.2,33910,39.8,85106,85106,80.4,338,0.3,20370,19.3,105814
Goldstein,VIC,69726,76.3,21663,23.7,91389,91389,85.8,238,0.2,14857,14,106484
Gorton,VIC,49834,53.3,43587,46.7,93421,93421,77.1,347,0.3,27479,22.7,121247
Higgins,VIC,70059,78.3,19375,21.7,89434,89434,84.2,180,0.2,16615,15.6,106229
Holt,VIC,47147,50.7,45875,49.3,93022,93022,76.5,289,0.2,28260,23.2,121571
Hotham,VIC,47986,59.6,32524,40.4,80510,80510,80.1,303,0.3,19732,19.6,100545
Indi,VIC,54563,63.1,31925,36.9,86488,86488,81.8,324,0.3,18934,17.9,105746
